Team,GoalScored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,1st Goal,Goals in PSO,Own goals,Own goal Time
Argentina,1.5,63.75,13.25,4.5,4.0,4.75,6.0,1.5,20.5,1.5,85.75,583.75,99.75,13.75,2.75,0.0,0.0,24.666666666666668,0.0,,
Australia,0.6666666666666666,51.0,10.666666666666666,2.6666666666666665,4.666666666666667,3.3333333333333335,4.666666666666667,1.0,12.333333333333334,3.3333333333333335,85.33333333333333,488.3333333333333,110.0,12.333333333333334,2.3333333333333335,0.0,0.0,50.0,0.0,1.0,81.0
Belgium,2.2857142857142856,52.42857142857143,15.142857142857142,5.714285714285714,5.714285714285714,3.7142857142857144,5.571428571428571,1.1428571428571428,12.571428571428571,3.857142857142857,87.0,528.2857142857143,105.0,14.142857142857142,1.5714285714285714,0.0,0.0,31.666666666666668,0.0,,
Brazil,1.6,55.6,20.6,7.6,7.0,6.0,8.4,1.8,16.8,1.0,87.6,567.8,101.8,10.0,1.4,0.0,0.0,49.25,0.0,1.0,13.0
Colombia,1.5,50.25,9.75,3.0,3.5,3.25,3.25,1.75,14.75,2.5,81.25,453.25,109.25,15.75,2.25,0.0,0.25,60.75,0.75,,
Costa Rica,0.6666666666666666,41.333333333333336,9.333333333333334,3.0,4.333333333333333,2.0,3.6666666666666665,1.6666666666666667,14.0,3.3333333333333335,79.33333333333333,349.0,106.33333333333333,14.333333333333334,2.0,0.0,0.0,56.0,0.0,,
Croatia,2.0,55.142857142857146,16.428571428571427,4.142857142857143,8.285714285714286,4.0,5.714285714285714,1.2857142857142858,17.571428571428573,2.857142857142857,82.28571428571429,558.0,117.57142857142857,16.285714285714285,2.142857142857143,0.0,0.0,39.57142857142857,1.0,,
Denmark,0.75,45.25,10.0,3.0,5.5,1.5,4.5,1.25,9.5,5.25,80.25,411.0,115.75,13.5,1.5,0.0,0.0,22.333333333333332,0.5,,
Egypt,0.6666666666666666,45.0,9.666666666666666,1.6666666666666667,5.666666666666667,2.3333333333333335,2.0,1.3333333333333333,8.666666666666666,3.0,80.33333333333333,396.6666666666667,109.33333333333333,12.666666666666666,1.6666666666666667,0.0,0.0,34.5,0.0,1.0,47.0
England,1.7142857142857142,53.714285714285715,13.714285714285714,3.5714285714285716,6.142857142857143,4.0,5.571428571428571,2.142857142857143,16.571428571428573,2.4285714285714284,86.57142857142857,548.8571428571429,117.71428571428571,10.285714285714286,1.1428571428571428,0.0,0.0,27.0,0.5714285714285714,,
France,2.0,47.857142857142854,11.714285714285714,4.285714285714286,5.142857142857143,2.2857142857142856,3.0,0.42857142857142855,15.714285714285714,1.8571428571428572,82.42857142857143,435.14285714285717,101.0,13.285714285714286,1.7142857142857142,0.0,0.0,35.666666666666664,0.0,1.0,18.0
Germany,0.6666666666666666,67.0,22.333333333333332,6.666666666666667,8.0,7.666666666666667,8.333333333333334,2.3333333333333335,16.0,3.6666666666666665,89.0,671.0,112.0,9.666666666666666,0.6666666666666666,0.3333333333333333,0.0,48.0,0.0,,
Iceland,0.6666666666666666,37.0,12.0,4.0,6.333333333333333,1.6666666666666667,5.666666666666667,0.3333333333333333,10.666666666666666,3.0,71.66666666666667,268.0,104.66666666666667,11.666666666666666,1.0,0.0,0.0,49.5,0.0,,
Iran,0.6666666666666666,32.666666666666664,7.0,1.3333333333333333,5.0,0.6666666666666666,1.6666666666666667,1.0,16.333333333333332,2.3333333333333335,74.66666666666667,213.0,99.66666666666667,14.666666666666666,2.3333333333333335,0.0,0.0,90.0,0.0,,
Japan,1.5,52.75,10.5,4.0,3.75,2.75,4.75,1.25,14.25,3.5,85.0,506.0,99.5,9.25,1.25,0.0,0.0,29.333333333333332,0.0,,
Korea Republic,1.0,39.666666666666664,11.0,3.6666666666666665,3.0,4.333333333333333,5.0,0.0,12.0,4.333333333333333,78.33333333333333,311.3333333333333,106.66666666666667,21.0,3.3333333333333335,0.0,0.0,90.0,0.0,,
Mexico,0.75,54.25,14.25,3.25,6.0,5.0,5.0,1.5,13.0,6.25,84.75,419.25,96.75,13.5,2.25,0.0,0.0,30.5,0.0,1.0,74.0
Morocco,0.6666666666666666,49.666666666666664,11.666666666666666,3.3333333333333335,6.0,2.3333333333333335,4.333333333333333,0.6666666666666666,13.333333333333334,1.3333333333333333,82.33333333333333,382.0,106.33333333333333,20.666666666666668,2.6666666666666665,0.0,0.0,14.0,0.0,1.0,90.0
Nigeria,1.0,46.0,13.0,3.0,5.333333333333333,4.666666666666667,4.666666666666667,0.6666666666666666,16.333333333333332,2.0,81.33333333333333,368.3333333333333,99.66666666666667,15.0,1.3333333333333333,0.0,0.0,50.0,0.0,1.0,32.0
Panama,0.6666666666666666,39.0,7.666666666666667,2.6666666666666665,4.333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,18.333333333333332,2.6666666666666665,82.33333333333333,333.0,97.0,16.333333333333332,3.6666666666666665,0.0,0.0,55.5,0.0,,
Peru,0.6666666666666666,51.666666666666664,10.666666666666666,3.6666666666666665,4.666666666666667,2.3333333333333335,3.0,2.3333333333333335,16.0,2.3333333333333335,82.33333333333333,448.0,102.0,12.333333333333334,1.6666666666666667,0.0,0.0,18.0,0.0,,
Poland,0.6666666666666666,49.333333333333336,10.0,2.6666666666666665,4.333333333333333,3.0,5.666666666666667,1.3333333333333333,13.666666666666666,1.3333333333333333,83.33333333333333,479.3333333333333,99.0,10.333333333333334,1.0,0.0,0.0,48.0,0.0,1.0,37.0
Portugal,1.5,53.75,13.0,3.5,3.5,4.5,6.0,1.0,16.75,2.0,84.0,488.75,100.75,13.75,1.75,0.0,0.0,27.0,0.0,,
Russia,2.2,38.8,9.2,3.8,3.2,2.2,5.2,1.4,12.4,3.0,75.6,344.8,125.0,19.0,1.0,0.2,0.0,35.75,1.4,1.0,17.5
Saudi Arabia,0.6666666666666666,58.0,12.0,3.3333333333333335,5.333333333333333,3.3333333333333335,4.333333333333333,1.3333333333333333,18.333333333333332,1.6666666666666667,87.33333333333333,585.3333333333334,102.0,10.0,0.0,0.0,0.0,45.0,0.0,,
Senegal,1.3333333333333333,44.0,10.0,4.0,4.333333333333333,1.6666666666666667,3.0,3.3333333333333335,13.0,1.6666666666666667,79.33333333333333,315.6666666666667,102.0,14.666666666666666,2.0,0.0,0.0,35.5,0.0,,
Serbia,0.6666666666666666,45.333333333333336,10.666666666666666,2.3333333333333335,5.666666666666667,2.6666666666666665,4.0,1.6666666666666667,15.0,3.3333333333333335,79.66666666666667,389.3333333333333,113.0,15.0,3.0,0.0,0.0,30.5,0.0,,
Spain,1.75,68.5,17.5,5.25,7.0,5.25,6.0,1.5,16.75,0.25,91.0,857.75,112.0,8.5,0.5,0.0,0.0,27.25,0.75,,
Sweden,1.2,39.2,11.0,4.2,4.4,2.4,3.2,1.2,15.4,2.2,75.0,298.4,105.2,13.0,1.6,0.0,0.0,53.25,0.0,,
Switzerland,1.25,57.25,14.0,3.5,5.5,5.0,6.5,1.0,14.25,3.0,85.25,544.0,106.5,13.25,2.25,0.0,0.25,44.333333333333336,0.0,1.0,90.0
Tunisia,1.6666666666666667,51.0,12.0,4.333333333333333,4.333333333333333,3.3333333333333335,3.3333333333333335,2.0,16.0,5.0,83.66666666666667,476.3333333333333,104.0,15.333333333333334,1.3333333333333333,0.0,0.0,26.666666666666668,0.0,1.0,33.0
Uruguay,1.4,48.2,12.2,4.4,5.2,2.6,3.6,0.4,15.4,2.2,79.6,438.6,104.4,12.6,0.6,0.0,0.0,32.25,0.0,,
